[temtusr@IEMSLAMSREP02 etllogs]$ cat ecm-IEMSLAMSREP02-11-5-2018.log
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for I191-C-Gv3.0Gi-SSH-UNX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for I191-C-Gv3.0G-SSH-UNX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for I191-C-Gv3.0I-W2K12
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for I191-C-Gv3.0Li-W12
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for I191-C-Gv4.0B-LINUX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for I191-C-Gv4.0Ci-SUDO-UNX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for I191-C-Gv4.0Ci-W08
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for I191-C-Gv4.0C-SUDO-UNX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for I191-C-Gv4.0Di-AIX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for I191-C-Gv4.0Fi-LNX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for I191-C-Iv12.0-SUDO-UNX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for I191-C-Iv12.2-SSH-UNX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for I191-C-Iv12.2-W08
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for I191-C-Iv12.2-W12
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for I191-C-Iv12.7-LNX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for IEM0-C-Iv12.2-WIN
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for ITI8-C-Iv12.0-SUDO-UNX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for ITI8-C-Iv12.1-IT6-UNX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for ITI8-C-Iv12.2-SSH-UNX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for ITI8-C-Iv12.5-AIX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for ITI8-C-Iv9.0-FRAMEWORK-UNX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for S077-C-f-FRAMEWORK-W2K8
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for S077-C-Fv3.0-IT6-WIN
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for S077-C-Fv3.1-W2K8
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching scan date time for S077-C-Fv4.0A-AIX
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for S077-C-Fv4.0A-AIX
ERROR : Incomplete data present in SCA for policy S077-C-Fv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv4.0A-AIX. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv4.0A-AIX. Skipping the policy!
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Total files in temporary file Repository:0
ECM : 2018-11-05-11:45:03 : temtusr : INFORMATION: Fetching data for S077-C-Fv3.1-W2K8
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.1-W2K8. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.1-W2K8. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.1-W2K8. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.1-W2K8. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.1-W2K8. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.1-W2K8. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.1-W2K8. Skipping the policy!
ERROR : Incomplete data present in SCA for policy S077-C-Fv3.1-W2K8. Skipping the policy!
